title,authors,conference,year
High-performance Visual Semantics Compression for AI-Driven Science.,Boyuan Zhang 0002; Luanzheng Guo; Jiannan Tian; Jinyang Liu 0003; Daoce Wang; Fanjiang Ye; Chengming Zhang 0006; Jan Strube 0001; Nathan R. Tallent; Dingwen Tao,PPoPP,2025
WaterWise: Co-optimizing Carbon- and Water-Footprint Toward Environmentally Sustainable Cloud Computing.,Yankai Jiang 0002; Rohan Basu Roy; Raghavendra Kanakagiri; Devesh Tiwari,PPoPP,2025
Fairer and More Scalable Reader-Writer Locks by Optimizing Queue Management.,Takashi Hoshino 0002; Kenjiro Taura,PPoPP,2025
SGDRC: Software-Defined Dynamic Resource Control for Concurrent DNN Inference on NVIDIA GPUs.,Yongkang Zhang 0003; Haoxuan Yu; Chenxia Han; Cheng Wang; Baotong Lu; Yunzhe Li; Zhifeng Jiang 0001; Yang Li 0090; Xiaowen Chu 0001; Huaicheng Li,PPoPP,2025
Frontier-guided Graph Reordering.,Xinmiao Zhang 0004; Cheng Liu 0008; Shengwen Liang; Chenwei Xiong; Yu Zhang 0027; Lei Zhang 0008; Huawei Li 0001; Xiaowei Li 0001,PPoPP,2025
Big Atomics and Fast Hash Tables.,Daniel Anderson; Guy E. Blelloch; Siddhartha V. Jayanti,PPoPP,2025
Popcorn: Accelerating Kernel K-means on GPUs through Sparse Linear Algebra.,Julian Bellavita; Thomas Pasquali; Laura Del Rio Martin; Flavio Vella; Giulia Guidi,PPoPP,2025
Minimizing speculation overhead in a parallel recognizer for regular texts.,Angelo Borsotti; Luca Breveglieri; Angelo Morzenti; Stefano Crespi-Reghizzi,PPoPP,2025
GLumin: Fast Connectivity Check Based on LUTs For Efficient Graph Pattern Mining.,Weichen Cao 0002; Ke Meng; Zhiheng Lin; Guangming Tan,PPoPP,2025
SBMGT: Scaling Bayesian Multinomial Group Testing.,Weicong Chen; Hao Qi; Curtis Tatsuoka; Xiaoyi Lu,PPoPP,2025
Accelerating GNNs on GPU Sparse Tensor Cores through N: M Sparsity-Oriented Graph Reordering.,Jou-An Chen; Hsin-Hsuan Sung; Ruifeng Zhang 0008; Ang Li 0006; Xipeng Shen,PPoPP,2025
Triangle Counting on Tensor Cores.,YuAng Chen; Jeffrey Xu Yu,PPoPP,2025
Magneto: Accelerating Parallel Structures in DNNs via Co-Optimization of Operators.,Zhanyuan Di; Leping Wang; Ziyi Ren; En Shao; Jie Zhao 0002; Siyuan Feng; Dingwen Tao; Guangming Tan; Ninghui Sun,PPoPP,2025
Reciprocating Locks.,Dave Dice; Alex Kogan,PPoPP,2025
An AI-Enhanced 1km-Resolution Seamless Global Weather and Climate Model to Achieve Year-Scale Simulation Speed using 34 Million Cores.,Xiaohui Duan; Yi Zhang 0127; Kai Xu; Haohuan Fu; Bin Yang 0043; Yiming Wang; Yilun Han; Siyuan Chen; Zhuangzhuang Zhou; Chenyu Wang; Dongqiang Huang; Huihai An; Xiting Ju; Haopeng Huang; Zhuang Liu; Wei Xue 0003; Weiguo Liu; Bowen Yan; Jianye Hou; Maoxue Yu; Wenguang Chen; Jian Li; Zhao Jing; Hailong Liu; Lixin Wu,PPoPP,2025
MARLIN: Mixed-Precision Auto-Regressive Parallel Inference on Large Language Models.,Elias Frantar; Roberto L. Castro; Jiale Chen 0004; Torsten Hoefler; Dan Alistarh,PPoPP,2025
Balanced Allocations over Efficient Queues: A Fast Relaxed FIFO Queue.,Kåre von Geijer; Philippas Tsigas; Elias Johansson; Sebastian Hermansson,PPoPP,2025
LibRTS: A Spatial Indexing Library by Ray Tracing.,Liang Geng; Rubao Lee; Xiaodong Zhang 0001,PPoPP,2025
FlashFFTStencil: Bridging Fast Fourier Transforms to Memory-Efficient Stencil Computations on Tensor Core Units.,Haozhi Han; Kun Li 0016; Wei Cui; Donglin Bai; Yiwei Zhang; Liang Yuan; Yifeng Chen; Yunquan Zhang; Ting Cao 0003; Mao Yang 0004,PPoPP,2025
Setting a Course for Post-Moore Software Performance.,Charles E. Leiserson,PPoPP,2025
Boost Lock-free Queue and Stack with Batching.,Ao Li; Wenhai Li; Yuan Chen; Lingfeng Deng,PPoPP,2025
ATTNChecker: Highly-Optimized Fault Tolerant Attention for Large Language Model Training.,Yuhang Liang; Xinyi Li; Jie Ren; Ang Li 0006; Bo Fang 0002; Jieyang Chen,PPoPP,2025
WeiPipe: Weight Pipeline Parallelism for Communication-Effective Long-Context Large Model Training.,Junfeng Lin; Ziming Liu; Yang You 0001; Jun Wang 0159; Weihao Zhang; Rong Zhao,PPoPP,2025
Mario: Near Zero-cost Activation Checkpointing in Pipeline Parallelism.,Weijian Liu; Mingzhen Li 0001; Guangming Tan; Weile Jia,PPoPP,2025
DORADD: Deterministic Parallel Execution in the Era of Microsecond-Scale Computing.,Zhengqing Liu; Musa Unal; Matthew J. Parkinson; Marios Kogias,PPoPP,2025
Adaptive Parallel Training for Graph Neural Networks.,Kaihao Ma; Renjie Liu 0001; Xiao Yan 0002; Zhenkun Cai; Xiang Song 0003; Minjie Wang; Yichao Li; James Cheng,PPoPP,2025
RT-BarnesHut: Accelerating Barnes-Hut Using Ray-Tracing Hardware.,Vani Nagarajan; Rohan Gangaraju; Kirshanthan Sundararajah; Artem Pelenitsyn; Milind Kulkarni 0001,PPoPP,2025
AC-Cache: A Memory-Efficient Caching System for Small Objects via Exploiting Access Correlations.,Fulin Nan; Ronglong Wu; Zhirong Shen; Jiahui Yang; Li Cheng; Zheng Chen; Yiming Zhang 0003; Jiwu Shu,PPoPP,2025
BerryBees: Breadth First Search by Bit-Tensor-Cores.,Yuyao Niu; Marc Casas,PPoPP,2025
TensorMD: Molecular Dynamics Simulation with Ab Initio Accuracy of 50 Billion Atoms.,Yucheng Ouyang; Ying Liu 0055; Honghui Shang; Zhenchuan Chen; Jiahao Shan; Huimin Cui; Xiaobing Feng 0002; Xin Chen 0023; Xingyu Gao 0003; Lifang Wang; Haifeng Song 0003; Xin Chen 0023; Rongfen Lin; Fang Li,PPoPP,2025
Aggregating Funnels for Faster Fetch&amp;Add and Queues.,Younghun Roh; Yuanhao Wei; Eric Ruppert; Panagiota Fatourou; Siddhartha Jayanti; Julian Shun,PPoPP,2025
Transactional Data Structures with Orthogonal Metadata.,Yaodong Sheng; Ahmed Hassan; Michael F. Spear,PPoPP,2025
FlashSparse: Minimizing Computation Redundancy for Fast Sparse Matrix Multiplications on Tensor Cores.,Jinliang Shi; Shigang Li 0002; Youxuan Xu; Rongtian Fu; Xueying Wang 0003; Tong Wu 0024,PPoPP,2025
Publish on Ping: A Better Way to Publish Reservations in Memory Reclamation for Concurrent Data Structures.,Ajay Singh 0002; Trevor Brown 0001,PPoPP,2025
COMPSO: Optimizing Gradient Compression for Distributed Training with Second-Order Optimizers.,Baixi Sun; Weijin Liu; J. Gregory Pauloski; Jiannan Tian; Jinda Jia; Daoce Wang; Boyuan Zhang 0002; Mingkai Zheng; Sheng Di; Sian Jin; Zhao Zhang 0007; Xiaodong Yu 0001; Kamil A. Iskra; Pete Beckman; Guangming Tan; Dingwen Tao,PPoPP,2025
Helios: Efficient Distributed Dynamic Graph Sampling for Online GNN Inference.,Jie Sun 0017; Zuocheng Shi; Li Su 0005; Wenting Shen; Zeke Wang; Yong Li 0045; Wenyuan Yu; Wei Lin 0016; Fei Wu 0001; Bingsheng He; Jingren Zhou 0001,PPoPP,2025
Effectively Virtual Page Prefetching via Spatial-Temporal Patterns for Memory-intensive Cloud Applications.,Yun Wang; Liang Chen; Tianmai Deng; Ben Luo; Yibin Shen; Zhixiang Wei; Yixiao Xu; Minglang Huang; Zhengwei Qi,PPoPP,2025
Improving Tridiagonalization Performance on GPU Architectures.,Hansheng Wang; Zhekai Duan; Zitian Zhao; Siqi Wu; Saiqi Zheng; Qiao Li 0001; Xu Jiang 0004; Shaoshuai Zhang,PPoPP,2025
